ticker,cluster
TECH,1
FIS,0
NWS,0
WST,1
PAYX,2
CME,2
MSI,1
COF,0
STZ,2
CSX,1
AAPL,2
FOX,0
KEYS,2
ITW,1
TJX,0
SLB,0
BDX,0
F,0
EA,2
DIS,2
BIO,2
IDXX,2
MDT,1
ZBRA,2
ZTS,1
CB,0
WFC,0
VTR,2
LYB,0
BRO,1
LKQ,0
VZ,2
USB,0
AMAT,1
SJM,0
IPGP,1
TYL,1
MPC,0
SBAC,2
CARR,0
ODFL,1
AKAM,1
GL,0
TSN,0
CINF,1
WEC,0
HPQ,0
MU,1
ES,0
GE,0
HRL,0
NXPI,2
KMI,2
NDSN,2
ALK,0
GM,0
FTNT,2
CNC,0
DOW,0
CHD,0
MCK,0
CTLT,0
TSCO,0
DGX,0
PKG,1
PEAK,1
CMS,0
AEP,2
BKR,0
GILD,2
BR,0
IRM,0
BXP,2
MOH,1
ALGN,1
BAC,0
NDAQ,2
WAT,1
RF,0
GRMN,2
NEM,2
COST,0
TEL,0
PPL,2
LLY,2
BWA,0
PFE,2
XRAY,1
BMY,2
TSLA,0
EFX,1
GOOG,1
CZR,0
AVB,2
EXR,2
APH,0
MAA,2
KMX,0
GD,0
AES,0
MTB,0
VNO,2
VRSN,2
EPAM,1
AEE,0
DHR,1
CHTR,0
TFX,1
UPS,0
EVRG,0
RJF,0
MLM,0
MTD,1
AMZN,0
CF,0
IVZ,2
PNC,1
V,2
DLR,2
ACN,1
PSA,2
AJG,0
HCA,1
AME,2
CPT,2
NTAP,2
CSCO,2
T,0
FDS,2
GS,2
HWM,0
KIM,2
HST,2
AOS,1
SYK,2
IP,0
CEG,0
TGT,0
ZION,0
CVX,0
D,0
PSX,0
CI,0
GWW,1
CBOE,2
AMCR,0
MGM,1
HAS,1
AON,0
PG,0
RCL,2
PTC,2
FRC,1
NEE,2
WRK,0
FCX,0
LRCX,1
MCO,2
ETR,0
RHI,1
PEG,0
NI,0
MHK,0
HII,0
ADI,2
PENN,0
WHR,0
FTV,2
DVN,0
AMD,1
BRK-B,0
TFC,2
ARE,2
BLK,2
UNH,0
SNPS,1
EMR,0
EBAY,2
UAL,0
BALL,0
NVR,0
VTRS,0
ECL,1
AZO,1
KEY,0
POOL,1
LW,1
GLW,1
A,2
QCOM,2
ORLY,2
LMT,0
FLT,2
ANET,2
HON,2
HPE,0
TROW,2
ALL,0
DVA,0
WY,0
REG,2
EXPD,0
PARA,0
ALLE,1
GPN,2
EXC,0
ROK,1
AIZ,0
WELL,2
LNT,0
ETSY,1
MKC,0
STE,1
ROL,0
IPG,0
J,0
INCY,1
CE,0
MS,0
PYPL,2
BK,0
TAP,0
AIG,0
ABC,0
BEN,2
FFIV,2
ABBV,2
WAB,0
ULTA,1
RL,1
EMN,0
MCD,1
IT,2
MMM,2
SO,2
LUV,0
ATO,2
BA,0
TDG,2
KLAC,1
ALB,2
BIIB,2
JBHT,0
L,0
CPRT,1
PEP,1
LNC,0
DUK,0
AAL,0
MRO,0
GIS,0
DRI,0
UDR,2
APD,1
VMC,1
HBAN,0
MKTX,2
TT,0
STX,2
ADBE,2
CAT,0
GNRC,1
SEE,0
IBM,2
HSY,2
PGR,0
GPC,0
LYV,0
KHC,0
WTW,0
NLOK,2
OMC,0
CHRW,0
MRNA,0
AFL,0
AWK,2
DHI,0
ED,2
CDAY,0
NUE,0
MO,0
WBA,0
PM,2
ESS,1
DG,1
WM,1
PH,1
RSG,0
NKE,1
ROP,2
HIG,0
ADP,1
NOC,0
MSCI,2
RTX,0
C,0
INTU,1
CMCSA,0
CPB,0
SWKS,2
STT,0
EQIX,2
XOM,0
VLO,0
WMB,0
ZBH,2
BKNG,1
APA,0
CL,2
REGN,2
CTRA,1
SBUX,0
BAX,0
YUM,2
TMO,1
XEL,0
CLX,0
ATVI,2
MOS,0
TTWO,2
OTIS,0
MSFT,1
CCI,1
TER,1
DISH,0
VFC,0
HES,0
PHM,1
HLT,0
ABT,2
COO,2
LVS,1
EL,1
ICE,2
JNPR,2
CTSH,1
PAYC,1
CAG,0
HOLX,0
DAL,0
EW,1
EIX,0
LH,0
BSX,2
ADM,0
KMB,0
VICI,2
CCL,0
MMC,0
DTE,0
SEDG,1
ABMD,2
INTC,1
DFS,0
CFG,1
NRG,0
SHW,0
LEN,0
XYL,0
ISRG,2
LIN,0
FE,0
MRK,2
FMC,2
FAST,1
GOOGL,1
TMUS,0
EOG,2
AMT,2
APTV,0
AVGO,2
FRT,2
DOV,1
IEX,1
JCI,2
NWSA,0
ANSS,1
JPM,2
NOW,1
FANG,0
MET,0
NWL,0
ORCL,2
SPG,2
MTCH,1
CVS,0
DXCM,1
IQV,0
EQR,2
PCAR,0
TRV,0
MAS,1
MNST,2
QRVO,0
PWR,0
CTAS,1
CDW,1
META,1
PLD,1
JKHY,2
CNP,0
CAH,0
RMD,1
ETN,1
URI,0
NTRS,0
AMGN,2
EXPE,2
FISV,1
SYF,0
SCHW,0
TPR,1
HAL,0
PVH,1
OGN,1
UHS,1
SIVB,1
AXP,0
CTVA,1
FDX,0
FITB,0
TXN,1
CRL,1
ENPH,1
SYY,0
PPG,0
PRU,0
DXC,0
KO,2
